Drug1,DB_ID1,Drug2,DB_ID2,Cell.line,ZIP,Bliss,Loewe,HSA,ZIPclassification,blissclassification,loeweclassification,hsaclassification,synthetic,classification
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2058,3.28,7.89,3.02,5.47,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2058,-0.99,-0.32,-5.19,-2.75,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A2058,11.11,9.1,4.36,7.11,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2058,3.62,4.67,6.97,7.98,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2058,8.61,5.48,7.78,8.78,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2058,0.19,1.12,3.42,4.43,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2058,10.6,10.02,12.32,13.33,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A2058,8.17,6.07,0.4,5.93,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A2058,-1.12,-2.92,-7.87,-0.32,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A2058,-0.5,-2.29,-7.81,-5.7,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A2058,8.78,10.02,4.51,6.61,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,A2058,-1.86,-2.31,-7.83,-5.72,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A2058,-2.43,-4.9,-8.42,-4.06,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A2058,-2.59,-4.98,-8.51,-4.15,-1,-1,-1,-1,-4,antagonism
