ID1,ID2,Chem_similarity,Target_similarity,Pathway_similarity,GO_CC_Similarity,GO_MF_Similarity,GO_BP_Similarity,rowMeans,p_value,adjP_value
DB00603,DB00783,0.245614035087719,1,1e-10,0.792,0.845,0.895,0.629602339197953,0.00988754984570293,0.224486746823244
DB00396,DB00603,0.56575682382134,1,1,0.892,0.871,0.934,0.877126137303557,5.7507158945888e-06,0.00330537467886341
DB00396,DB00783,0.350609756097561,1,1e-10,0.89,0.905,0.915,0.676768292699593,0.0032404098005052,0.147570844622675
DB00957,DB00977,0.350348027842227,1,0.131067961165049,0.961,0.95,0.937,0.721569331501213,0.00098545581631531,0.138423157416789
DB00823,DB00977,0.298507462686567,1,0.131067961165049,0.995,0.986,0.985,0.732595903975269,0.000720820774367865,0.122474753418544
DB00367,DB00783,0.350609756097561,1,1e-10,0.904,0.899,0.878,0.67193495936626,0.0036563774414863,0.148742490313147
DB00783,DB01234,0.330210772833724,1,1e-10,0.498,0.828,0.847,0.583868462155621,0.0255484516531576,0.474316585189315
DB00783,DB00977,0.684,1,1e-10,0.825,0.902,0.906,0.719500000016667,0.00104410785640545,0.138423157416789
DB00783,DB00957,0.275943396226415,1,1e-10,0.865,0.88,0.875,0.649323899387736,0.00630816016447691,0.176764689950013
DB00294,DB00977,0.428169014084507,1,1e-10,0.995,0.986,0.985,0.732361502364084,0.000725687655534036,0.122735468719975
DB00367,DB00977,0.462235649546828,1,0.131067961165049,0.919,0.934,0.939,0.730883935118646,0.000757070132251274,0.124868257626838
DB00304,DB00977,0.415204678362573,1,0.131067961165049,0.995,0.986,0.985,0.75204543992127,0.000407346991089917,0.0837621373773224
DB00588,DB00860,0.360983102918587,1,1,0.956,0.895,0.908,0.853330517153098,1.39997964763993e-05,0.00525152685108246
DB00652,DB01183,0.289124668435013,1,1,0.392,0.415,0.347,0.573854111405836,0.0309177600952549,0.565906901058693
DB00641,DB02546,0.101818181818182,1,0,0.922,0.952,0.859,0.639136363636364,0.00798086443969648,0.1963073657724
DB00641,DB01076,0.144029170464904,1,1,0.98,0.951,0.929,0.834004861744151,2.80536554744087e-05,0.0083718467556686
DB00175,DB00641,0.515679442508711,1,1,0.991,1,1,0.917779907084785,1.15311781114245e-06,0.00234052351639252
DB00717,DB00977,0.545150501672241,0.250900360144058,0.131067961165049,0.795,0.888,0.845,0.575853137163558,0.0297770961738848,0.546293651049028
DB00755,DB01169,0,0.245833333333333,1,0.77,0.827,0.751,0.598972222222222,0.0189406965722097,0.365666294685701
DB01029,DB01197,0.0557553956834532,0.302949061662198,1,0.662,0.792,0.669,0.580284076224275,0.0273728732769954,0.505224366358885
DB01076,DB01098,0.306201550387597,1,1,0.462,0.457,0.329,0.5923669250646,0.0216262255948971,0.407978680677965
DB00277,DB01223,0.481481481481481,1,1,0.954,0.921,0.908,0.877413580246914,5.6879385080176e-06,0.00328351402670522
