"",V1,V2
"1",DB00028,0.259
"2",DB01611,0.279
"3",DB12534,
"4",DB11817,0.301
"5",DB00207,0.22
"6",DB00169,0.301
"7",DB00602,0.287
"8",DB06803,
"9",DB00435,0.237
"10",DB09152,
"11",DB15655,
"12",DB01211,0.296
"13",DB06699,0.112
"14",DB01109,0.282
"15",DB09153,
"16",DB00863,0.277
"17",DB00755,0.246
"18",DB11863,
"19",DB00072,0.336
"20",DB06366,0.336
"21",DB14803,
"22",DB01234,0.29
"23",DB00619,0.302
"24",DB06228,0.32
"25",DB01225,0.198
"26",DB00959,0.261
"27",DB01601,
"28",DB00503,0.316
"29",DB06273,0.231
"30",DB00319,
"31",DB01606,
"32",DB00966,0.323
"33",DB00876,0.289
"34",DB01029,0.268
"35",DB13919,0.289
"36",DB11842,0.289
"37",DB00678,0.289
"38",DB00275,0.289
"39",DB00177,0.289
"40",DB06812,
"41",DB12038,
"42",DB06292,0.199
"43",DB06403,0.308
"44",DB14828,
"45",DB12466,
"46",DB00091,0.437
"47",DB00507,
"48",DB00811,0.289
"49",DB15661,
"50",DB01394,0.454
"51",DB00975,0.297
"52",DB11580,0.233
"53",DB00302,0.336
"54",DB08895,0.3
"55",DB00746,0.364
"56",DB04897,
"57",DB00675,0.321
"58",DB00982,0.271
"59",DB00927,
"60",DB00471,0.184
"61",DB14767,
"62",DB01001,0.275
"63",DB00003,
"64",DB09274,
"65",DB13132,
"66",DB06515,0.245
"67",DB00146,0.301
"68",DB00107,0.179
"69",DB11767,0.234
"70",DB00742,
"71",DB00060,0.184
"72",DB09113,
"73",DB00848,0.221
"74",DB13156,
"75",DB08954,0.258
"76",DB00608,0.305
"77",DB01050,0.358
"78",DB15636,
"79",DB15035,0.28
"80",DB04977,
"81",DB01410,0.27
"82",DB12849,
"83",DB11803,
"84",DB11703,0.252
"85",DB13127,
"86",DB01076,0.254
"87",DB01042,
"88",DB00105,0.184
"89",DB05258,0.186
"90",DB01373,0.18
"91",DB15446,
"92",DB11997,
"93",DB01593,0.334
"94",DB08877,0.257
"95",DB14644,
"96",DB00472,0.305
"97",DB09241,0.209
"98",DB06303,
"99",DB09053,0.252
"100",DB00877,0.267
"101",DB01390,
"102",DB01222,0.261
"103",DB06151,0.279
"104",DB01128,
"105",DB12668,0.324
"106",DB15687,
"107",DB13729,0.163
"108",DB09322,
"109",DB08813,0.344
"110",DB06779,0.255
"111",DB06822,0.248
"112",DB12768,
"113",DB11952,0.27
"114",DB00343,0.197
"115",DB08882,0.307
"116",DB00254,
"117",DB02285,0.142
"118",DB09570,
"119",DB00198,0.227
"120",DB13973,
"121",DB00126,0.24
"122",DB00151,0.245
"123",DB12510,
"124",DB00945,0.392
"125",DB00569,0.198
"126",DB00775,0.327
"127",DB00758,0.193
"128",DB00477,0.306
"129",DB00026,0.152
"130",DB00741,0.261
"131",DB00178,0.265
"132",DB01221,0.283
"133",DB00704,0.326
"134",DB14761,
"135",DB15121,
"136",DB01261,0.307
"137",DB00457,0.274
"138",DB06168,0.325
"139",DB00396,0.291
"140",DB01060,
"141",DB00766,
"142",DB00480,0.236
"143",DB01097,0.302
"144",DB06260,
"145",DB01236,0.288
"146",DB00818,0.283
"147",DB00635,0.27
"148",DB00783,0.346
"149",DB00633,0.323
"150",DB00009,0.277
"151",DB01430,0.268
"152",DB00440,
"153",DB01015,
"154",DB00773,0.359
"155",DB09035,0.106
"156",DB11942,0.49
"157",DB01257,0.233
"158",DB01197,0.277
"159",DB09019,
"160",DB00158,0.313
"161",DB15313,
"162",DB01065,0.312
"163",DB00563,0.341
"164",DB12598,0.279
"165",DB00661,0.277
"166",DB01118,0.323
"167",DB00736,0.279
"168",DB15280,
"169",DB15148,
"170",DB05386,0.22
"171",DB13609,
"172",DB00068,0.184
"173",DB01087,
"174",DB01190,
"175",DB00339,
"176",DB00641,0.289
"177",DB00279,0.303
"178",DB04932,0.277
"179",DB14545,
"180",DB06683,
"181",DB14242,
"182",DB05941,0.305
"183",DB00358,0.324
"184",DB15688,0.356
"185",DB00421,0.292
"186",DB00584,0.266
"187",DB11779,
"188",DB00112,0.252
"189",DB00328,0.358
"190",DB11061,
"191",DB05382,0.267
"192",DB00878,
"193",DB00545,0.309
"194",DB12453,
"195",DB04465,0.234
"196",DB00176,0.271
"197",DB00864,0.277
"198",DB01117,0.207
"199",DB09079,0.27
"200",DB09037,0.106
"201",DB00159,0.37
"202",DB00879,
"203",DB00300,
"204",DB05511,0.251
"205",DB00338,0.211
"206",DB11720,
"207",DB01043,0.282
"208",DB00983,0.275
"209",DB09036,0.288
"210",DB00381,0.23
"211",DB01054,0.26
"212",DB01023,0.292
"213",DB01115,0.262
"214",DB00622,0.247
"215",DB00393,0.238
"216",DB00880,0.242
"217",DB00524,0.228
"218",DB00808,0.228
"219",DB00436,0.253
"220",DB00999,0.203
"221",DB00310,0.217
"222",DB00492,0.266
"223",DB00790,0.262
"224",DB00542,0.266
"225",DB00881,0.266
"226",DB00722,0.265
"227",DB00519,0.266
"228",DB00020,0.235
"229",DB12580,
"230",DB00788,0.218
"231",DB00316,0.293
"232",DB15656,
"233",DB14999,0.186
"234",DB14724,0.353
"235",DB14066,0.402
"236",DB00203,0.237
"237",DB00062,
"238",DB15654,
"239",DB08868,0.238
"240",DB01041,0.272
"241",DB09104,
"242",DB09145,
"243",DB15623,
"244",DB01264,
"245",DB09065,
"246",DB12141,0.33
"247",DB00987,0.288
"248",DB00099,0.225
"249",DB01073,0.303
"250",DB13007,0.167
"251",DB14597,0.234
"252",DB01104,0.273
"253",DB13923,0.303
"254",DB00051,0.346
"255",DB14845,
"256",DB08899,
"257",DB01098,0.265
"258",DB00390,0.268
"259",DB01018,0.311
"260",DB00289,0.289
"261",DB14041,0.134
"262",DB15669,
"263",DB15164,
"264",DB00188,0.396
"265",DB14851,
"266",DB06186,0.18
"267",DB06636,
"268",DB11759,
"269",DB00928,0.335
"270",DB12161,0.337
"271",DB10341,
"272",DB10334,
"273",DB10329,
"274",DB10333,
"275",DB10330,
"276",DB10339,
"277",DB10320,
"278",DB10326,
"279",DB10327,
"280",DB10331,
"281",DB10338,
"282",DB10323,
"283",DB10335,
"284",DB09877,
"285",DB10319,
"286",DB10324,
"287",DB10328,
"288",DB10322,
"289",DB10325,
"290",DB10321,
"291",DB10337,
"292",DB10340,
"293",DB10336,
"294",DB10332,
"295",DB10296,
"296",DB12678,
"297",DB11595,0.198
"298",DB00806,0.349
"299",DB15298,
"300",DB00100,0.355
"301",DB00410,
"302",DB01017,0.315
"303",DB08910,0.307
"304",DB02325,
"305",DB14762,0.248
"306",DB14473,
"307",DB15528,
"308",DB05829,0.178
"309",DB00515,0.311
"310",DB00958,
"311",DB01285,0.199
"312",DB00688,0.236
"313",DB12872,0.244
