DrugBankID,Name,Source,Source_link,Groups,Therap_Class,Indication(s),DP,z_DP,z_DP_pVal,FR,z_FR,z_FR_pVal,Functional_Proximity,z_FP,z_FP_pVal
DB00028,Human immunoglobulin G,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Serum,,2.11940298507463,6.17419926714754,3.32498137033399E-10,365.10209903588,-1.57769171081948,0.057318225762872,0.259,-0.609371985227974,0.728861048670977
DB01611,Hydroxychloroquine,DrugBank,https://www.drugbank.ca/covid-19,approved,Antimalarials,"
Malaria
",2.2636815920398,-0.472659129431512,0.318228194871157,106.995482101103,0.726440886619037,0.233784266915861,0.279,-0.270472990262021,0.606601803267061
DB12534,Mavrilimumab,DrugBank,https://www.drugbank.ca/covid-19,investigational,Proteins,"
Rheumatoid arthritis
",Inf,,,,,,,,
DB11817,Baricitinib,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Selective immunosuppressants,"
Rheumatoid arthritis
Rheumatoid arthritis
",2.01492537313433,-0.046174244557267,0.481585685219532,208.170801632025,1.60869325252445,0.053841715972658,0.301,0.102315904200525,0.459252965915275
DB00207,Azithromycin,DrugBank,https://www.drugbank.ca/covid-19,approved,Combinations of antibacterials,,2.4228855721393,-0.541296970552219,0.29415145411871,41.729465320349,1.0409865170597,0.148940902928906,0.22,-1.27022502541158,0.897997757088304
DB00169,Cholecalciferol,DrugBank,https://www.drugbank.ca/covid-19,"approved,nutraceutical",Vitamins,"
Vitamin D deficiency
",2.23880597014925,3.55597586399691,0.000188289325669,47.0126805606442,-2.21444647825843,0.013399040319671,0.301,0.102315904200525,0.459252965915275
DB00602,Ivermectin,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,vet_approved",Antiprotozoal Agents,"
Intestinal strongyloidiasis due to nematode parasite
",2.70149253731343,3.13769099865176,0.000851421447081,55.5042645279801,-2.46458904075101,0.006858523857991,0.287,-0.134913392275641,0.553659824571411
DB06803,Niclosamide,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,vet_approved",Salicylic acid derivatives,"
Cestodes infection
",Inf,,,,,,,,
DB00435,Nitric Oxide,DrugBank,https://www.drugbank.ca/covid-19,approved,Bronchodilator Agents,"
Respiratory failure
Solid tumour/cancer
",2.52487562189055,2.72408848680534,0.003223961420553,90.5634518775757,-1.15557718624649,0.123927072023514,0.237,-0.982160879690522,0.836989701570193
DB09152,Nitrogen,DrugBank,https://www.drugbank.ca/covid-19,"approved,vet_approved",Medical gases,,Inf,,,,,,,,
DB15655,Ad5-nCoV,DrugBank,https://www.drugbank.ca/covid-19,investigational,Experimental Unapproved Treatments for COVID-19,,Inf,,,,,,,,
DB01211,Clarithromycin,DrugBank,https://www.drugbank.ca/covid-19,approved,Antibiotics,"
Bacterial infection
",2.32338308457711,0.554435751120494,0.289640332294812,91.5504169130257,-0.46182397733139,0.322103777398631,0.296,0.017591155459037,0.492982506253921
DB06699,Degarelix,DrugBank,https://www.drugbank.ca/covid-19,approved,Other hormone antagonists and related agents,,2.96268656716418,1.87326598407857,0.03051583231375,23.7016112232398,-1.95513765077847,0.02528341266519,0.112,-3.10027959822772,0.999033309787857
DB01109,Heparin,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Heparin group,,2.04726368159204,7.66312190243293,9.07334756861797E-15,498.540982365055,-0.177774112981059,0.429450189167902,0.282,-0.21963814101713,0.586923507794223
DB09153,Sodium chloride,DrugBank,https://www.drugbank.ca/covid-19,"approved,vet_approved",Electrolyte solutions,"
Skin burns
",Inf,,,,,,,,
DB00863,Ranitidine,DrugBank,https://www.drugbank.ca/covid-19,"approved,withdrawn",Antiulcer Agents,"
Peptic ulcer
",2.38557213930348,-0.254549133736996,0.399535675268236,66.5063512261175,-0.171023733039907,0.432102552124968,0.277,-0.304362889758617,0.619574281437862
DB00755,Tretinoin,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,nutraceutical",Keratolytic Agents,"
Acne vulgaris
Acute promyelocytic leukaemia
",2.02238805970149,4.78982177941965,8.34647543886924E-07,626.725476734796,-0.755593666864889,0.224946427092214,0.246,-0.829656331955843,0.796633441256598
DB11863,Alvelestat,DrugBank,https://www.drugbank.ca/covid-19,investigational,Pyridines,,Inf,,,,,,,,
DB00072,Trastuzumab,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Anticancer Agents,"
Breast cancer
",2.06965174129353,-1.23904617636546,0.107664198954779,55.4065749484162,1.4220638506036,0.077503857911436,0.336,0.695389145390942,0.243405730578177
DB06366,Pertuzumab,DrugBank,https://www.drugbank.ca/covid-19,approved,Monoclonal antibodies,"
Breast cancer
",2.06965174129353,-1.18844098284294,0.117329859105761,55.4065749484162,1.42632353470277,0.07688748713729,0.336,0.695389145390942,0.243405730578177
DB14803,AMY-101,DrugBank,https://www.drugbank.ca/covid-19,investigational,,,Inf,,,,,,,,
DB01234,Dexamethasone,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,vet_approved",Antiinflammatory Agents,"
Rheumatoid arthritis
",2.00497512437811,-0.638069546079447,0.261714204830657,233.817998734792,1.58792998383941,0.056151086235352,0.29,-0.084078543030749,0.533503007795795
