GeneSymbol,UniprotID
POT1,Q9NUX5
PDLIM2,Q96JY6
CNBP,P62633
SHC1,P29353
IQGAP2,Q13576
TRIAP1,O43715
NR5A1,Q13285
ATXN3,P54252
TPI1,P60174
MRPS22,P82650
TOP2A,P11388
ETV5,P41161
MYH9,P35579
PTBP3,O95758
ATXN7,O15265
UBASH3B,Q8TF42
PSEN1,P49768
ATP5F1,P24539
JAK2,O60674
RPL14,P50914
NRP1,O14786
BRCA1,P38398
PSMC6,P62333
PRB4,P10163
OR8U1,Q8NH10
HOXB9,P17482
TBC1D15,Q8TC07
TOM1L1,O75674
BRD4,O60885
ATP6V1B2,P21281
RAD51,Q06609
TUBB,P07437
KRAS,P01116
UBC,P0CG48
EEF2,P13639
SCN1B,Q07699
GPX1,P07203
C8B,P07358
UBE2N,P61088
WDR1,O75083
MYO1E,Q12965
CDC123,O75794
USP6NL,Q92738
CYP2C9,P11712
PHGDH,O43175
PTPRF,P10586
GPX2,P18283
TCOF1,Q13428
HLA-A,P16188
OR4C11,Q6IEV9
C1S,P09871
CEACAM3,P40198
BDKRB2,P30411
HNRNPH3,P31942
SIGIRR,Q6IA17
SLC9A3R1,O14745
PHC1,P78364
NGFR,P08138
DAPK3,O43293
LMX1B,O60663
SH2B2,O14492
LCK,P06239
FBL,P22087
OFD1,O75665
SLC18A2,Q05940
TRADD,Q15628
PRKN,O60260
TNFAIP3,P21580
ARHGAP6,O43182
SLC26A3,P40879
MCM3AP,O60318
TRIM16,O95361
HIF1A,Q16665
CYB5A,P00167
UNG,P13051
DHX15,O43143
SMAD2,Q15796
BRSK2,Q8IWQ3
RAB4B,P61018
RPL13,P26373
ZAP70,P43403
LGALS3,P17931
ATF6,P18850
OR1J1,Q8NGS3
XRCC5,P13010
TXNDC5,Q8NBS9
POU1F1,P28069
MNX1,P50219
MPO,P05164
FAS,P25445
HIST1H2BC;HIST1H2BE;HIST1H2BF;HIST1H2BG;HIST1H2BI,P62807
HNRNPA1,P09651
F2,P00734
PCNA,P12004
ZYX,Q15942
CENPO,Q9BU64
CDC73,Q6P1J9
HSP90AA1,P07900
DOK7,Q18PE1
DES,P17661
SRGN,P10124
PABPC1,P11940
ETHE1,O95571
CCS,O14618
NOS3,P29474
GPI,P06744
RGS19,P49795
STAM,Q92783
EIF2AK2,P19525
MED27,Q6P2C8
CSDE1,O75534
SETMAR,Q53H47
MVP,Q14764
HABP2,Q14520
HOXB8,P17481
FASLG,P48023
STAU1,O95793
ARF6,P62330
ARHGDIA,P52565
BCR,P11274
STK3,Q13188
MELK,Q14680
TDGF1,P13385
RAN,P62826
CHRNA4,P43681
SRSF9,Q13242
EPHA4,P54764
LILRB4,Q8NHJ6
TP73,O15350
IGF1R,P08069
ABL2,P42684
CCL2,P13500
CCDC69,A6NI79
OR2A25,A4D2G3
NEBL,O76041
CFL1,P23528
TPT1,P13693
STK10,O94804
DVL2,O14641
ESR1,P03372
KIF22,Q14807
MAPK3,P27361
HSPA6,P17066
AHDC1,Q5TGY3
RAB36,O95755
PKD2,Q13563
MCM2,P49736
RB1,P06400
COL5A3,P25940
LY6E,Q16553
ITGAL,P20701
RABL3,Q5HYI8
TUBB6,Q9BUF5
SFXN3,Q9BWM7
SKI,P12755
FCMR,O60667
ABR,Q12979
NCBP1,Q09161
SASH3,O75995
RPS16,P62249
PRKY,O43930
MZT2A,Q6P582
AQR,O60306
GALR2,O43603
PAK3,O75914
OBSCN,Q5VST9
APP,P05067
S100A7,P31151
HSPA8,P11142
NAALADL2,Q58DX5
EPHA3,P29320
MCC,P23508
NTRK1,P04629
TNK2,Q07912
COIL,P38432
RPS2,P15880
SPOCK3,Q9BQ16
HAT1,O14929
OMP,P47874
SYNCRIP,O60506
DDX6,P26196
TRIM26,Q12899
RHOF,Q9HBH0
KLK2,P20151
TXNDC9,O14530
NOL9,Q5SY16
MEOX2,P50222
MAP3K6,O95382
OR4B1,Q8NGF8
MRPL17,Q9NRX2
ROBO2,Q9HCK4
PIAS1,O75925
CD99,P14209
YWHAQ,P27348
G3BP1,Q13283
PLEKHB2,Q96CS7
RPS6KA3,P51812
CDK1,P06493
OBSL1,O75147
TNFRSF1A,P19438
IARS,P41252
S100Z,Q8WXG8
RHOT2,Q8IXI1
A1BG,P04217
TPTE,P56180
OR51D1,Q8NGF3
DYRK1A,Q13627
FOXG1,P55316
HUS1,O60921
RAD17,O75943
KDM1A,O60341
DFFA,O00273
PIK3R1,P27986
HIP1R,O75146
AP1G2,O75843
RPS20,P60866
PRKCD,Q05655
PAX4,O43316
FGF4,P08620
CLIC1,O00299
KCTD6,Q8NC69
MYO1D,O94832
MYBL2,P10244
C6,P13671
ITGB2,P05107
RPL31,P62899
SCAMP3,O14828
EXOSC9,Q06265
HMBS,P08397
AKT1,P31749
KRR1,Q13601
EPHB4,P54760
KCNK12,Q9HB15
NUMB,P49757
USP14,P54578
PGAM2,P15259
ORC1,Q13415
PDILT,Q8N807
PKP4,Q99569
HSP90B1,P14625
FLNA,P21333
MON2,Q7Z3U7
YWHAE,P62258
YWHAZ,P63104
JAK1,P23458
MCM5,P33992
SPERT,Q8NA61
AZU1,P20160
PHB,P35232
SPTAN1,Q13813
PTK2B,Q14289
CDIPT,O14735
ECI1,P42126
EIF3H,O15372
UTP14C,Q5TAP6
EIF3G,O75821
RPAP3,Q9H6T3
EXOC3,O60645
MAP3K7,O43318
DFFB,O76075
TLR2,O60603
RRAS2,P62070
SNAPC2,Q13487
RAB13,P51153
SDS,P20132
NUDCD3,Q8IVD9
RPS25,P62851
RPL5,P46777
NPC2,P61916
MAPK12,P53778
MAP3K1,Q13233
HCK,P08631
CEP55,Q53EZ4
LY86,O95711
RARA,P10276
TMPRSS3,P57727
OR4K2,Q8NGD2
MAPK10,P53779
HOXA7,P31268
STX10,O60499
DDX3X,O00571
PRMT5,O14744
NCF4,Q15080
RND1,Q92730
FLT4,P35916
RRAS,P10301
SLC6A15,Q9H2J7
KCTD12,Q96CX2
YIF1A,O95070
EGR1,P18146
PDPK1,O15530
SHB,Q15464
RPS6KB1,P23443
PRKD3,O94806
CSF2RB,P32927
SPX,Q9BT56
MAS1,P04201
FRYL,O94915
PTPN11,Q06124
KCNA2,P16389
TRIM24,O15164
AR,P10275
PTPRD,P23468
CSTF1,Q05048
FERMT2,Q96AC1
PDCD6IP,Q8WUM4
ELAVL1,Q15717
ALDH3A1,P30838
SFPQ,P23246
PDIA6,Q15084
SAP18,O00422
ZNF211,Q13398
SMAD7,O15105
ZFP36,P26651
PNP,P00491
RNPS1,Q15287
HLA-B,P30466
YEATS4,O95619
SEMA7A,O75326
MED7,O43513
EPAS1,Q99814
RALGDS,Q12967
GJA1,P17302
UBXN2B,Q14CS0
RPA1,P27694
HLA-DRB1,P04229
KCNK5,O95279
RPL8,P62917
RGS14,O43566
SNRPF,P62306
RALGPS1,Q5JS13
MAP2K4,P45985
ECM2,O94769
PKN2,Q16513
GDI2,P50395
ELAVL4,P26378
HLA-DPB1,P04440
RBMS2,Q15434
FXR2,P51116
BNIP3L,O60238
KRT18,P05783
DSTN,P60981
HSP90AB1,P08238
RBM10,P98175
MEF2A,Q02078
VCAN,P13611
GSPT2,Q8IYD1
RAD50,Q92878
KLHL24,Q6TFL4
IRS4,O14654
PLEC,Q15149
SAMD13,Q5VXD3
TRIM25,Q14258
BUD31,P41223
MAK,P20794
KDELR3,O43731
MYC,P01106
CAMK1D,Q8IU85
TFRC,P02786
MAPK7,Q13164
NME4,O00746
RASA1,P20936
HNRNPH1,P31943
UBTF,P17480
EPHB2,P29323
PPIB,P23284
HOXC6,P09630
EED,O75530
FYN,P06241
LIG4,P49917
SCGB1D1,O95968
POU2F1,P14859
OTOP2,Q7RTS6
SRSF4,Q08170
CEP57,Q86XR8
NFKB1,P19838
HLA-A,P05534
TNS2,Q63HR2
PITX3,O75364
SERPINB2,P05120
PSMB3,P49720
SIVA1,O15304
TNPO1,Q92973
MATR3,P43243
NUAK1,O60285
MLLT1,Q03111
SELENOF,O60613
NEDD4,P46934
TSC1,Q92574
GABARAPL2,P60520
IGFBP7,Q16270
ARFIP2,P53365
YWHAG,P61981
HAND2,P61296
CSNK2A2,P19784
PPFIA2,O75334
DCAF7,P61962
FER,P16591
MEIS1,O00470
NKX2-5,P52952
MDK,P21741
PXN,P49023
HLA-C,P30508
RPA3,P35244
TCP1,P17987
CLASP2,O75122
SNCA,P37840
VAV2,P52735
ZMYM6,O95789
BCL2L11,O43521
MPDZ,O75970
AXDND1,Q5T1B0
DAG1,Q14118
NSD1,Q96L73
TTLL12,Q14166
ACTB,P60709
RPS27A,P62979
ARF1,P84077
CDK9,P50750
PSMD11,O00231
SNRPD1,P62314
HTR1F,P30939
SDHA,P31040
TTK,P33981
SLC9A7,Q96T83
CENPT,Q96BT3
CEACAM5,P06731
RHOXF2B,P0C7M4
OR8B8,Q15620
E2F4,Q16254
SREBF2,Q12772
SH2D1A,O60880
PTPN4,P29074
G6PD,P11413
TP53,P04637
CYTH3,O43739
TNC,P24821
LENG8,Q96PV6
NPHP1,O15259
SKAP1,Q86WV1
FSTL4,Q6MZW2
MXD1,Q05195
CEP70,Q8NHQ1
CDK7,P50613
TEK,Q02763
CSF2RA,P15509
C3AR1,Q16581
PPP1CB,P62140
MYL2,P10916
CDK16,Q00536
H3F3A;H3F3B,P84243
UBE2D2,P62837
HDGF,P51858
CHMP4C,Q96CF2
PRDX6,P30041
UTP23,Q9BRU9
PRKCZ,Q05513
HS6ST1,O60243
ASNS,P08243
NXF1,Q9UBU9
RAB27A,P51159
PRDX3,P30048
DNAJC6,O75061
GAS6,Q14393
OTOL1,A6NHN0
HLA-A,P30453
BET1,O15155
TNNT1,P13805
RNASET2,O00584
PAPSS1,O43252
CDR2,Q01850
AFDN,P55196
RPLP1,P05386
MAP7,Q14244
CBFA2T3,O75081
TRIM21,P19474
CXCR1,P25024
TCTN1,Q2MV58
NAP1L1,P55209
HTT,P42858
OR11H4,Q8NGC9
COL4A1,P02462
PIM1,P11309
OR4F6,Q8NGB9
RRAGA,Q7L523
INCENP,Q9NQS7
PAFAH1B1,P43034
EEF1A1,P68104
LIG1,P18858
CXADR,P78310
HDAC3,O15379
ITGA4,P13612
LAD1,O00515
GANAB,Q14697
GNB2,P62879
IL4,P05112
S100A1,P23297
PTPRK,Q15262
ARF5,P84085
GTF2F1,P35269
OR5C1,Q8NGR4
SPTBN4,Q9H254
OR51E2,Q9H255
KTN1,Q86UP2
FIGLA,Q6QHK4
KRT8,P05787
FLT3,P36888
SPAM1,P38567
PLCZ1,Q86YW0
ZBTB16,Q05516
GNG2,P59768
LDLR,P01130
SH3GL2,Q99962
TIA1,P31483
GABBR2,O75899
XPO1,O14980
BCLAF1,Q9NYF8
KIF2B,Q8N4N8
SRC,P12931
RAPGEF3,O95398
SYK,P43405
RHOG,P84095
BIN1,O00499
SEPHS1,P49903
ELF1,P32519
DUSP4,Q13115
BSG,P35613
GRB2,P62993
DVL1,O14640
CELA2B,P08218
MCM7,P33993
NKRF,O15226
TMED2,Q15363
DPEP1,P16444
C1R,P00736
UQCR11,O14957
SCRIB,Q14160
RNF2,Q99496
TCERG1,O14776
BMX,P51813
ARL6IP5,O75915
REL,Q04864
PBX1,P40424
AFAP1,Q8N556
CLSTN3,Q9BQT9
KLC3,Q6P597
DBH,P09172
TNN,Q9UQP3
C5AR1,P21730
CD8A,P01732
DAO,P14920
PGK1,P00558
PTPN1,P18031
GRM2,Q14416
HSP90AA5P,Q58FG0
KLHL41,O60662
DST,Q03001
MSH6,P52701
RPS3A,P61247
CDK17,Q00537
DDX39A,O00148
SOX2,P48431
NUMA1,Q14980
AURKA,O14965
ETF1,P62495
PRKACA,P17612
POU4F2,Q12837
TESK2,Q96S53
KCNA6,P17658
NCK1,P16333
CCNG1,P51959
ILF3,Q12906
CAMK2G,Q13555
IRAK1,P51617
DNMT3L,Q9UJW3
CD14,P08571
ABL1,P00519
ICAM2,P13598
YWHAB,P31946
ZXDA,P98168
FGFR1,P11362
DAAM1,Q9Y4D1
FCGR2C,P31995
IQSEC2,Q5JU85
GTF2A1,P52655
SYNJ2BP,P57105
STX12,Q86Y82
POLR2B,P30876
SMARCA1,P28370
PHF6,Q8IWS0
CELSR2,Q9HCU4
ARHGEF9,O43307
MITF,O75030
ITGA6,P23229
CCNA1,P78396
RAD23A,P54725
HLA-DMA,P28067
FLT1,P17948
MYH7,P12883
DSG2,Q14126
SEC13,P55735
ANKRD23,Q86SG2
HOXD13,P35453
ADRB2,P07550
SNAP23,O00161
HLA-A,P30459
HSPA9,P38646
SNRNP200,O75643
TGFBR1,P36897
RBM3,P98179
PEPD,P12955
EEF1A2,Q05639
CPSF1,Q10570
SOCS3,O14543
EFL1,Q7Z2Z2
GJB3,O75712
PATJ,Q8NI35
GLRB,P48167
CD40LG,P29965
MT-CO1,P00395
SNU13,P55769
AKAP12,Q02952
H2AFZ,P0C0S5
MEIS2,O14770
NDUFS2,O75306
BMP15,O95972
CDC25A,P30304
OR6C70,A6NIJ9
OR5AS1,Q8N127
PRKG2,Q13237
DSCAM,O60469
NTN1,O95631
PSMC2,P35998
MMP7,P09237
DLX4,Q92988
CDX1,P47902
FOXL2,P58012
DHX8,Q14562
EDF1,O60869
TYK2,P29597
UBB,P0CG47
OR13F1,Q8NGS4
GABRA1,P14867
HNRNPCL1,O60812
CUL3,Q13618
CAMK4,Q16566
UBA52,P62987
SP100,P23497
HELZ,P42694
OR7C1,O76099
AFAP1L2,Q8N4X5
ARF4,P18085
SF3A1,Q15459
DYNLT1,P63172
TRIM23,P36406
TGIF2LY,Q8IUE0
SUMO2,P61956
CCDC116,Q8IYX3
RP1,P56715
ATP1B3,P54709
DHX9,Q08211
CSRP3,P50461
GATAD2B,Q8WXI9
SP1,P08047
OR2L3,Q8NG85
BGN,P21810
VDR,P11473
RFC5,P40937
MRPS9,P82933
NTRK3,Q16288
RPF2,Q9H7B2
RAC1,P63000
BIRC2,Q13490
KCNH2,Q12809
KCNA5,P22460
KCNN1,Q92952
PSMD4,P55036
SRGAP3,O43295
WRNIP1,Q96S55
WDR46,O15213
DOK2,O60496
EPS8,Q12929
APOA2,P02652
PSMD14,O00487
APBB1,O00213
CDK5,Q00535
CXCL11,O14625
MAP2K7,O14733
DUSP1,P28562
NCOA2,Q15596
HSCB,Q8IWL3
MMP8,P22894
CELF2,O95319
SLC19A2,O60779
NFKBIA,P25963
CTBP1,Q13363
OR6C68,A6NDL8
PMS2P1,A4D2B8
MYOM2,P54296
ARHGEF15,O94989
CD74,P04233
EGFR,P00533
NOP56,O00567
TRDN,Q13061
LAIR1,Q6GTX8
RBM6,P78332
MAP4K2,Q12851
FGF10,O15520
PSMC3,P17980
CD2BP2,O95400
PSME3,P61289
SRSF11,Q05519
NDUFV2,P19404
PSG1,P11464
OSBP,P22059
RIPK4,P57078
CDKL1,Q00532
ERVK-6,Q69383
FRK,P42685
IL10,P22301
CCP110,O43303
BUB1B,O60566
RPL18,Q07020
OR8U9,P0C7N5
REM1,O75628
SEPT2,Q15019
GMNN,O75496
KCNMA1,Q12791
TROAP,Q12815
DRD4,P21917
CASK,O14936
LGALS2,P05162
TGFB1I1,O43294
RIMBP2,O15034
ISX,Q2M1V0
MRAS,O14807
PTPN13,Q12923
LIMA1,Q9UHB6
SNAP91,O60641
OR14I1,A6ND48
TRIO,O75962
CCL11,P51671
MSN,P26038
CCDC102A,Q96A19
XIAP,P98170
DCTN1,Q14203
PPP1CC,P36873
PTBP1,P26599
APOC1,P02654
RTCA,O00442
FBN1,P35555
SCUBE3,Q8IX30
TRAPPC1,Q9Y5R8
CCL22,O00626
CAD,P27708
SSR4,P51571
IKBKB,O14920
EMD,P50402
NDUFB6,O95139
CCL13,Q99616
SH2D5,Q6ZV89
HOXA1,P49639
PGK2,P07205
RCC1,P18754
NCR1,O76036
JUN,P05412
CYR61,O00622
PRKX,P51817
UQCRB,P14927
SDC4,P31431
NPR2,P20594
FOXP3,Q9BZS1
UBA6,A0AVT1
MAP3K9,P80192
SLC16A3,O15427
PSAP,P07602
RETREG3,Q86VR2
COPZ2,Q9P299
ARAP1,Q96P48
KRT1,P04264
LRRK1,Q38SD2
ATP13A2,Q9NQ11
IKZF1,Q13422
FASN,P49327
DLST,P36957
PRKDC,P78527
EPPIN,O95925
CSNK1E,P49674
BCL2A1,Q16548
EIF4B,P23588
TNFRSF1B,P20333
LSM6,P62312
GNB1,P62873
BCL3,P20749
PRKCA,P17252
EIF4A1,P60842
CD80,P33681
CHEK2,O96017
GNAI2,P04899
TCL1B,O95988
RHOU,Q7L0Q8
PSMD3,O43242
SRPK2,P78362
TYROBP,O43914
RAB1A,P62820
NIPBL,Q6KC79
DNAJC7,Q99615
EIF2S1,P05198
CASP8,Q14790
BRD3,Q15059
CDH3,P22223
ATP5MF-PTCD1,G3V325
ARHGAP4,P98171
CFLAR,O15519
CDK12,Q9NYV4
HPGDS,O60760
PSG2,P11465
ANPEP,P15144
GTF2B,Q00403
OR8B12,Q8NGG6
RAB3A,P20336
CCL5,P13501
DLD,P09622
MAPK8,P45983
SARS,P49591
BCL10,O95999
NOTCH1,P46531
UBE2C,O00762
OR2AT4,A6NND4
UBE2T,Q9NPD8
KCNAB1,Q14722
GCC2,Q8IWJ2
LMAN1,P49257
ALDH6A1,Q02252
SDHB,P21912
OR8J3,Q8NGG0
PDGFRA,P16234
TAB3,Q8N5C8
TMCC2,O75069
TIMP4,Q99727
MAPRE1,Q15691
CTLA4,P16410
INHA,P05111
PTPN14,Q15678
OR51G2,Q8NGK0
PPP2R2B,Q00005
APBA3,O96018
PSMC4,P43686
XRCC4,Q13426
RIMBP3C,A6NJZ7
CDC37,Q16543
COX6A2,Q02221
ALX4,Q9H161
GRAMD1B,Q3KR37
ARL4A,P40617
HOXC10,Q9NYD6
CPA3,P15088
TCF4,P15884
AMOT,Q4VCS5
FRS3,O43559
NFKB2,Q00653
PPP2R5E,Q16537
CKS1B,P61024
TEX9,Q8N6V9
U2AF1L4,Q8WU68
TAGLN,Q01995
TRMT1,Q9NXH9
ZCRB1,Q8TBF4
EOMES,O95936
PIK3R2,O00459
NOTCH2NL,Q7Z3S9
H2AFX,P16104
APOL1,O14791
ACTR3,P61158
OR1N1,Q8NGS0
UBE2B,P63146
CYP2A6,P11509
EWSR1,Q01844
PBRM1,Q86U86
MTIF2,P46199
TJP1,Q07157
HR,O43593
ITM2A,O43736
ZZEF1,O43149
CD86,P42081
PLAU,P00749
HLA-A,P30447
POLE,Q07864
FKBP5,Q13451
WDR36,Q8NI36
TMPO,P42167
UTP20,O75691
SUMO3,P55854
PRSS3,P35030
HAND1,O96004
CHEK1,O14757
SVIL,O95425
MIA3,Q5JRA6
RPGRIP1L,Q68CZ1
ZNF365,Q70YC5
ABLIM1,O14639
VCAM1,P19320
APLF,Q8IW19
OR5H1,A6NKK0
MTHFD2,P13995
NPVF,Q9HCQ7
DLGAP2,Q9P1A6
NPTX1,Q15818
HOXC8,P31273
LYN,P07948
SEC23A,Q15436
HCFC1,P51610
PLK4,O00444
SRPK1,Q96SB4
HOXA9,P31269
SETDB1,Q15047
KCNB1,Q14721
IST1,P53990
STATH,P02808
DGKE,P52429
NUP133,Q8WUM0
BAG4,O95429
DDX55,Q8NHQ9
HOXA2,O43364
SSB,P05455
BMPR2,Q13873
HOXC12,P31275
CD8B,P10966
CAMKK2,Q96RR4
AGRN,O00468
ANXA6,P08133
CAPNS1,P04632
SPRY2,O43597
RPL17,P18621
RET,P07949
ERO1B,Q86YB8
MAGEA11,P43364
KCNA1,Q09470
ARHGEF1,Q92888
FDPS,P14324
PRKCQ,Q04759
PSMA4,P25789
CASP9,P55211
CETN3,O15182
PRKCG,P05129
ZNF550,Q7Z398
UBE2D1,P51668
PCDH12,Q9NPG4
HNRNPC,P07910
RNF14,Q9UBS8
CDC42BPA,Q5VT25
IFNAR1,P17181
PDS5A,Q29RF7
CREB1,P16220
KCNK3,O14649
SNRPB2,P08579
ARHGEF11,O15085
OR4K14,Q8NGD5
VCP,P55072
KIF1B,O60333
SYP,P08247
NKX3-1,Q99801
ELFN1,P0C7U0
IGFBP2,P18065
KAT8,Q9H7Z6
OR12D2,P58182
PSEN2,P49810
GALC,P54803
UFD1,Q92890
TRAF2,Q12933
SMAD6,O43541
RAD23B,P54727
PGD,P52209
GABRP,O00591
SCD,O00767
MVD,P53602
CCDC12,Q8WUD4
LRRN2,O75325
CUEDC2,Q9H467
TNF,P01375
USP7,Q93009
URB1,O60287
SOS2,Q07890
BTN2A1,Q7KYR7
FLNB,O75369
ING2,Q9H160
CD300LF,Q8TDQ1
MAP2K1,Q02750
DRD3,P35462
LAPTM5,Q13571
PRKCI,P41743
RPGRIP1,Q96KN7
P3H1,Q32P28
LAMC1,P11047
CDC7,O00311
HMGCS2,P54868
CLEC3A,O75596
ALAS1,P13196
LRIF1,Q5T3J3
ADIPOQ,Q15848
PFN2,P35080
VAV3,Q9UKW4
SLC39A5,Q6ZMH5
LRP5,O75197
CDH13,P55290
NGLY1,Q96IV0
NPR1,P16066
KIF1C,O43896
DTNBP1,Q96EV8
MGEA5,O60502
IL9R,Q01113
PSMD10,O75832
ADAMTS2,O95450
CAAP1,Q9H8G2
CYB5B,O43169
BYSL,Q13895
SRGAP2,O75044
HNF4G,Q14541
APC2,O95996
ARL3,P36405
NDUFS6,O75380
SLC20A2,Q08357
FCGR2B,P31994
HOXB2,P14652
ZNF93,P35789
MRM3,Q9HC36
NET1,Q7Z628
HSPA5,P11021
VPS50,Q96JG6
LRP4,O75096
CDK18,Q07002
TLX2,O43763
PSMA2,P25787
LDHA,P00338
CIDEA,O60543
PSMD9,O00233
PODXL,O00592
IL1B,P01584
SCO1,O75880
NRAS,P01111
TOM1,O60784
NID1,P14543
FOXE1,O00358
PTPRA,P18433
BMP1,P13497
SMAD4,Q13485
SNRPD2,P62316
AHSA1,O95433
COX7A2,P14406
HSPB1,P04792
HPX,P02790
ADAMTS14,Q8WXS8
TDP2,O95551
C10orf12,A0PJI9
TUBB4A,P04350
PLD2,O14939
TMEM17,Q86X19
ALX3,O95076
RRH,O14718
RBM39,Q14498
THY1,P04216
HPCAL1,P37235
USF1,P22415
SMARCA5,O60264
FANCD2,Q9BXW9
SOX3,P41225
KDM4B,O94953
LGALS1,P09382
COPS5,Q92905
DCLK2,Q8N568
PER2,O15055
PAX2,Q02962
RP2,O75695
NUDT6,P53370
ZNHIT3,Q15649
DDX5,P17844
PSMA5,P28066
TUBG1,P23258
ITGB3,P05106
IGBP1,P78318
CHD4,Q14839
JAG1,P78504
ADAR,P55265
CHAT,P28329
FYB1,O15117
PIK3C2A,O00443
F2RL1,P55085
KAT7,O95251
DNAH14,Q0VDD8
CAND2,O75155
VSTM2L,Q96N03
ZKSCAN1,P17029
B4GALT1,P15291
THOC5,Q13769
INS,P01308
CDH1,P12830
CLK2,P49760
TGFB1,P01137
VIL1,P09327
PRRC2A,P48634
YWHAH,Q04917
MPP7,Q5T2T1
HNRNPDL,O14979
CLEC1A,Q8NC01
DPP6,P42658
TXLNA,P40222
IMPDH2,P12268
CD4,P01730
AMPD1,P23109
FRA10AC1,Q70Z53
EIF4G1,Q04637
TECPR2,O15040
ONECUT2,O95948
OGFOD1,Q8N543
RPL38,P63173
EXOC6,Q8TAG9
AGAP11,Q8TF27
QPCT,Q16769
SNX3,O60493
TFDP3,Q5H9I0
OR9Q1,Q8NGQ5
IFNB1,P01574
CCNA2,P20248
QSOX1,O00391
MSTN,O14793
SOCS7,O14512
BCL2,P10415
ACADVL,P49748
CHAD,O15335
HAUS5,O94927
IL1R1,P14778
FKBP15,Q5T1M5
HMX3,A6NHT5
CDH16,O75309
LRPPRC,P42704
NR3C2,P08235
GPRIN2,O60269
VRK3,Q8IV63
NCOR1,O75376
MGMT,P16455
OR2W3,Q7Z3T1
GRK3,P35626
MAP3K8,P41279
RND2,P52198
ATF7,P17544
HLA-DRB1,P01912
ITGB6,P18564
LNX1,Q8TBB1
RBM12,Q9NTZ6
BIRC5,O15392
APH1A,Q96BI3
LNX2,Q8N448
CHRND,Q07001
ROCK2,O75116
AGAP6,Q5VW22
SOX5,P35711
RPL4,P36578
SUMO1,P63165
COPS6,Q7L5N1
CCND2,P30279
LRP1,Q07954
SDCBP,O00560
DPY19L4,Q7Z388
GC,P02774
FOXA1,P55317
GFAP,P14136
DRG2,P55039
GREM1,O60565
SUZ12,Q15022
CDK8,P49336
DNAJA1,P31689
GFI1B,Q5VTD9
GLP1R,P43220
RAB3D,O95716
BEND5,Q7L4P6
NDUFA13,Q9P0J0
WWP2,O00308
PPP4C,P60510
HPRT1,P00492
NUDT21,O43809
RASL10A,Q92737
CENPU,Q71F23
CD44,P16070
EPB41,P11171
OR6C74,A6NCV1
SHROOM2,Q13796
SART1,O43290
HCLS1,P14317
CDH18,Q13634
SIRPB1,O00241
CADM3,Q8N126
NUP37,Q8NFH4
EIF5B,O60841
RPL24,P83731
PRKD1,Q15139
NR3C1,P04150
EDC4,Q6P2E9
HNRNPH2,P55795
SFTPD,P35247
ITGB1,P05556
RAB11FIP3,O75154
CAPZA2,P47755
SHANK3,A0A0U1RQS4
BRD1,O95696
UBXN2A,P68543
NDUFV1,P49821
MYL12A,P19105
SLAIN2,Q9P270
CTNNA1,P35221
PAPD5,Q8NDF8
OR1E2,P47887
RBM15,Q96T37
MOCS2,O96033
SOX10,P56693
SCO2,O43819
SORBS3,O60504
PLAT,P00750
CDC42EP1,Q00587
LILRA6,Q6PI73
ASNA1,O43681
