Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
regulation of cellular response to stress (GO:0080135),ARMT1/HSPA1L/NUP214/NUP210/NUP93/PINK1/NUP98/MAPKAPK2/HSPA1A/AJUBA/FKBP4/HSPA1B/NUP205/PRKN/HIKESHI/NPAS2/NUP160/ARNTL/CCAR2/CRHBP/CHORDC1/HSF1/NUP85/NUP88/RAE1/CREBBP/NEK6/NUP153/NUP155/NUAK1/EIF4G1/CRYAB/POM121/DYRK3/AAAS/HSPH1/BAG5/TPR/BAG3/BAG4/POM121C/BAG1/BAG2/NUP62/MLST8/USP51/ABL1/NEK4/IER3/PNPT1/HSP90AA1/PTGES3/HSPA8/NDC1/EIF2AK4/OPRM1/NUP133/SIRT1/NUP50/IMPACT/DNAJC2/MAPT/NUP54/DNAJC7/AKT1S1/ATM/NUP58/ATR/GSK3B/SEH1L/YWHAE/HSPB8/DNAJB1/CASP9/DNAJB6/NUP43/MCL1/RANBP2/NPM1/RPA2/RPA3/HSBP1/VASH1/RPA1/MTOR/RSL1D1/NUP35/NUPL2/NUP37/CAMK2D/NUP107/HSP90AB1/SMG1/CAMK2A/CAMK2B/NUP188/ING2/USP19/RPTOR/EP300/MAPK3/MAPK1/CAMK2G/CHCHD2,NUP214/NUP210/NUP98/NUP88/RAE1/BAG5/NUP62/NUP54/NUP58/HSBP1,NA,10,10/374,7.59471984854757e-05,0.387558553871383
regulation of protein localization to early endosome (GO:1902965),RDX/ROCK2/DTX3L/MSN/SORL1/EZR,RDX,NA,1,1/374,0.00929900216569043,1
positive regulation of cellular metabolic process (GO:0031325),TGFB1/EDN1/PDGFRB/STARD4/EGF/ANXA2/PRELID1/ANGPT1/APOA2/MT3/APOA5/ACOD1/APOA4/SCRIB/AGT/TGFBR2/RNF41/VEGFA/MAPK14/AHI1/SFRP4/NFKBIA/PAX8/APOA1/AGTR1/TP53/RAB1A/RAB1B/RAMP3/CSF1/PCSK9/AGPAT1/ACACB/ACACA/NTF3/AKT1/ROMO1/RIPK1/RAB29/SNCA/BVES/HOXA5/MAGI2/ADIPOQ/NSF/ATAD1/PPARA/WNT3A/NR1H3/GADD45A/PICK1/NR1H2/WNT7A/INHBA/AKR1C3/F2/SELE/KLF4/ACE2/ACLY/GREM1/APOC1/TBC1D5/FASN/PLA2G10/EIF4G1/GRB2/VAMP3/PID1/LIPT2/HDAC6/CD63/HPN/HDAC1/CDKN1A/FMR1/HDAC2/UHRF1/ECE1/PDGFB/THBS1/ARRB2/GATA3/HIF1A/INS/ZC3H12A/ARRB1/INPP5F/CCL5/APOE/XDH/SCYL2,RNF41/RAB1A/AKT1/RIPK1/ACE2/HDAC2,NA,6,6/374,0.00966120502230384,1
protein localization to basolateral plasma membrane (GO:1903361),AP4M1/RAB10/PDZD11/CAV1/LIN7B/LIN7A/LIN7C,RAB10/PDZD11,NA,2,2/374,0.000552204028856011,1
cellular transition metal ion homeostasis (GO:0046916),ATP13A2/SCARA5/CCDC115/CYBRD1/MT3/HFE2/CP/MT4/BMP6/TF/MT1A/MT1B/TFR2/MT1G/ISCU/MT1H/ACO1/ABCG2/MT1E/MT1F/IREB2/APP/ATP6V0D1/ABCB7/TMPRSS6/ARF1/SLC46A1/ABCB6/SLC40A1/NEDD8/SLC22A17/FTMT/MYC/SLC39A7/SLC39A6/SLC39A8/FLVCR1/RPS27A/SLC39A5/MT1HL1/SLC39A4/SLC30A8/NDFIP1/ATP6V1G1/SLC30A9/SMAD4/SLC11A1/ATP6AP1/PRNP/SLC11A2/SLC30A5/SLC39A12/GDF2/SLC39A14/SLC30A1/SLC39A13/SOD1/ATOX1/TMEM199/LCK/SLC39A10/MT-RNR2/LCN2/HAMP/CCDC22/FXN/UBA52/FTL/FBXL5/ATP6V1A/ALAS2/TFRC/MT1L/COX19/MT1M/CUL1/NUBP1/MT1X/ERFE/MT2A/MT1DP/PRND/CAND1/UBC/HEPH/UBB/FTH1/HMOX1/HMOX2/ATP7B/ATP7A/SKP1/ATP6V0A2,SLC30A9/ATP6AP1/ATP6V1A/UBC/HMOX1,NA,5,5/374,0.0331367178257853,1
cellular protein complex assembly (GO:0043623),TGFB1/UVRAG/SEPT10/SEPT11/TMEM170A/PRLR/SEPT12/DNAAF3/DNAAF2/DNAAF1/TOMM20L/TMEM250/SEPT14/RBX1/MAPK8IP2/CCT6B/EID2/NUP93/THEG/NUP98/HIP1R/HSPA1A/PIH1D3/CHMP4A/NUP205/CHRNA3/ZFYVE9/POMP/CLU/TOMM20/DNAJC28/PSMD8/PSMD4/AP2S1/LONP1/SMAD3/SMAD2/SMAD4/WNT3A/SMAD1/COG4/TBCD/NUP153/NSG1/TBCC/CYBA/NSG2/HOPX/BBS10/PICALM/BBS12/NDUFAF7/CHMP3/CHMP2A/CASQ1/NDUFAF1/CASQ2/PTGES3L/DRC1/VAMP4/FBXL7/SRP19/PXN/ARL6/ARL2/CUL1/IMMP2L/POGZ/TESPA1/SKP1/CCDC39/CENPW/HSP90AA1/VBP1/GPX4/PTGES3/ANGPT1/NDC1/SEPT1/TCP1/SEPT2/NRG1/HSPA4/PILRB/SEPT5/SEPT6/SEPT3/SEPT4/CENPE/ANLN/CENPF/IMMP1L/TMEM33/CALY/PSMG2/PSMG1/CCDC40/CENPT/PSMD11/RTN4/EIF4B/PSMD13/AARS2/AHCTF1/CCDC103/CLTC/CLTB/CLTA/ADRB2/CD3E/FCHO2/FCHO1/EPS15/EIF4H/FGA/FGB/CCT2/FGG/ADRM1/MID1IP1/FKBP1A/CCDC65/FMOD/SPAG1/PFDN6/APCS/HIP1/SRC/NUP107/HSP90AB1/MIS12/HSPD1/CENPA/PIK3C2A/CENPC/SEPT9/SEPT7/CAND1/SAMM50/CAND2/SEPT8/SRP54/NCK1/NCK2,RBX1/NUP98/PSMD8/CHMP2A/NDUFAF1/SRP19/CENPF/RTN4/EIF4H/SRP54,NA,10,10/374,0.00127473371852562,1
chromosome organization (GO:0051276),CENPV/CDT1/CENPW/H3F3A/AXIN2/HMGA2/LIG4/RAD23B/MSH2/NUP133/SIRT1/RBX1/COPS5/CUL4B/COPS4/CUL4A/HIST1H4A/CENPH/COPS6/MSH3/COPS3/COPS2/MSH6/COPS8/CENPT/DOT1L/TOP2B/CETN2/GPS1/TOP2A/BRCA2/MYC/RAE1/RPS27A/TCF7L2/PARP1/NUP155/GEM/NDC80/DDB2/DDB1/LATS1/UBA52/HDAC2/LDB1/CDCA8/XPA/COPS7B/COPS7A/XPC/HIST1H3A/HHEX/UBC/UBB/NUF2/INSL3,RBX1/RAE1/HDAC2/UBC,NA,4,4/374,0.0144972929259746,1
protein homooligomerization (GO:0051260),TOR1A/TOR1B/SCARA5/ACTN2/TRPV1/PEX14/DISP1/SKI/OLFM4/APC/TMCC1/IAPP/ATG16L1/TRPV5/CTH/BAX/CHMP4B/CHMP4A/CDA/TP53/TOR2A/DGKD/PEX11B/SLC1A2/HM13/PKD2L1/GLS/CLDN3/THG1L/TANK/RS1/CLDN1/ITLN1/SCUBE3/RXRA/SCUBE1/NACC1/HSF1/DPYSL3/NACC2/FSD1/STOM/GBP1/SMARCAD1/LY6G6C/LY6G6D/GBP5/LONP1/SIGMAR1/FIS1/SMAD4/SYT1/PRNP/TMEM120A/TYSND1/MIF/KIF25/PDCD6IP/EHD1/CCDC88C/EHD3/EHD4/MIP/ILDR1/CHMP2A/HPRT1/MUC20/CRYAB/MICU1/CRYAA/TRIM72/BLM/RASEF/BCL10/HTRA2/PRF1/ZBTB1/MGST1/IKZF4/RNF213/CD79B/CALHM1/CD79A/TCL1A/TDO2/C9/GOLGA2/HMOX1/TP53BP1/FLOT1/MLKL/DECR1/TRPM4/DNM1L/TP63/GSDMD/PNPT1/GPX3/KCNJ12/RIPK3/ATPIF1/TRPA1/CAV1/ANXA6/EIF2AK3/SEPT4/LETM1/VWA2/CD247/FBP1/ALDOA/TRMT61B/SPTBN5/B4GALT1/KCNC2/NLGN1/SHMT1/IDE/CBY1/ITPR3/IGHMBP2/NLRC4/BRK1/APIP/CD3G/CD3E/CLYBL/ACACB/CD3D/ACACA/SPAST/ALAD/TK1/TWNK/ECT2/EMILIN1/RIPK1/FCER1G/ASIC1/MPP2/ADIPOQ/DFFB/VWF/GCH1/DCXR/AKR1C1/ALOX5AP/ACOT13/TAF10/GNMT/MCOLN1/SOD2/ALDH5A1/RAD51/P2RX6/RAD52/CAT/MAT1A/ALDH1A3/SYT11/P2RX2/LY6G5B/GOPC/LY6G5C/RBMX/HCN1/ACPP/RYR3/COLEC12/USP16/RYR1/DPYS/ATL2/ATL3/ATL1/DERL1/MFF/PKD2/FGFRL1/HSD17B10/SAMHD1/CRYZ/GLRA3/SRR/POLK/BEND3/VSTM5/KCNJ2/IKBKE/CBR4,TOR1A/STOM/SIGMAR1/TYSND1/CHMP2A/GOLGA2/HMOX1/IDE/RIPK1,NA,9,9/374,0.0257978321047259,1
positive regulation of macrophage differentiation (GO:0045651),IL34/CASP8/CSF1/LIF/FADD/PRKCA/RIPK1/PF4,RIPK1,NA,1,1/374,0.0167747462928842,1
regulation of histone H3-K9 methylation (GO:0051570),ZNF274/MYB/ATRX/DNMT3B/BRCA1/JARID2/PRDM12/SIRT1/DNMT1/HIST1H1B/INSL6,DNMT1,NA,1,1/374,0.0313121388414287,1
