DrugBank ID,Name,PubChem Compound ID,STICH_ID,SE.NAME
DB00006,Bivalirudin,16129704,CID016129704,Gastrointestinal pain<br>Abdominal pain<br>Anaphylactic shock<br>Anaemia<br>Angina pectoris<br>Anxiety<br>Arteriovenous fistula<br>Pneumothorax<br>Atelectasis<br>Atrial fibrillation<br>Back pain<br>Coagulopathy<br>Cardiac tamponade<br>Chest pain<br>Infection<br>Compartment syndrome<br>Confusional state<br>Feeling abnormal<br>Connective tissue disorder<br>Contusion<br>Coronary artery thrombosis<br>Dyspepsia<br>Dyspnoea<br>Ecchymosis<br>Epistaxis<br>Rash<br>Dermatitis<br>Eye disorder<br>Eye haemorrhage<br>VIIth nerve paralysis<br>Body temperature increased<br>Gastrointestinal disorder<br>Gastrointestinal haemorrhage<br>Gingival bleeding<br>Headache<br>Cardiac disorder<br>Haematemesis<br>Haematoma<br>Haematuria<br>Pericardial haemorrhage<br>Peritoneal haemorrhage<br>Haemoptysis<br>Haemorrhage<br>Haemoglobin<br>Hypersensitivity<br>Hypertension<br>Hypotension<br>Immune system disorder<br>Mediastinal disorder<br>Melaena<br>Myocardial infarction<br>Acute coronary syndrome<br>Nausea<br>Nervous system disorder<br>Nervousness<br>Tension<br>Oliguria<br>Pain<br>Pelvic pain<br>Petechiae<br>Pleural effusion<br>Post procedural haemorrhage<br>Pulmonary oedema<br>Renal failure<br>Reperfusion injury<br>Shock<br>Dizziness<br>Loss of consciousness<br>Syncope<br>Thrombocytopenia<br>Thrombosis<br>Urethral disorder<br>Urinary tract disorder<br>Urticaria<br>Angiopathy<br>Ventricular fibrillation<br>Ventricular tachycardia<br>Vomiting<br>Urinary retention<br>Injection site haemorrhage<br>Haemorrhage intracranial<br>Pulmonary haemorrhage<br>Retroperitoneal haemorrhage<br>Injection site reaction<br>Injection site pain<br>Vascular anomaly<br>Haemoglobin decreased<br>Skin disorder<br>Oesophageal haemorrhage<br>Groin pain<br>Sepsis<br>Ear haemorrhage<br>Retroperitoneal haematoma<br>Increased tendency to bruise<br>Anal haemorrhage<br>Bradycardia<br>Electrocardiogram ST segment elevation<br>Surgery<br>Pharyngeal haemorrhage<br>Drug interaction<br>International normalised ratio increased<br>Cerebral ischaemia<br>Insomnia<br>Puncture site reaction<br>Injection site discomfort<br>Vascular pseudoaneurysm<br>Thrombosis in device<br>Vessel puncture site haematoma
DB00106,Abarelix,16131215,CID016131215,Back pain<br>Constipation<br>Diarrhoea<br>Dizziness<br>Dysuria<br>Fatigue<br>Asthenia<br>Headache<br>Hypersensitivity<br>Breast pain<br>Nausea<br>Pain<br>Sleep disorder<br>Upper respiratory tract infection<br>Pollakiuria<br>Urinary tract infection<br>Urinary retention<br>Oedema peripheral<br>Nipple pain<br>Hot flush<br>Menopausal symptoms<br>Blood triglycerides increased<br>Breast enlargement
DB00125,Arginine,6322,CID000006322,Anaphylactic shock<br>Sickle cell anaemia<br>Decreased appetite<br>Brain oedema<br>Choking<br>Rash<br>Dermatitis<br>Extravasation<br>Flushing<br>Headache<br>Haematuria<br>Hypersensitivity<br>Lethargy<br>Nasal obstruction<br>Nausea<br>Necrosis<br>Sensory loss<br>Hypoaesthesia<br>Hyperhidrosis<br>Swelling<br>Tachycardia<br>Vomiting<br>Injection site reaction<br>Skin exfoliation<br>Skin necrosis<br>Rash macular<br>Platelet count decreased<br>Surgery<br>Phlebitis superficial<br>Paraesthesia oral
DB00130,L-Glutamine,5961,CID000005961,Gastrointestinal pain<br>Abdominal pain<br>Arthralgia<br>Musculoskeletal discomfort<br>Back pain<br>Bacterial infection<br>Mental disorder<br>Candida infection<br>Chest pain<br>Infection<br>Constipation<br>Dehydration<br>Depression<br>Dizziness<br>Oedema<br>Rash<br>Dermatitis<br>Fatigue<br>Asthenia<br>Body temperature increased<br>Flatulence<br>Headache<br>Haemorrhoids<br>Hypersensitivity<br>Nephrolithiasis<br>Laryngitis<br>Fungal infection<br>Nail disorder<br>Nausea<br>Pain<br>Pancreatitis<br>Neuropathy peripheral<br>Pharyngitis<br>Pruritus<br>Pyelonephritis<br>Rhinitis<br>Gastric ulcer<br>Thirst<br>Urethral disorder<br>Urinary tract disorder<br>Angiopathy<br>Viral infection<br>Vomiting<br>Dry mouth<br>Chills<br>Hepatic function abnormal<br>Injection site reaction<br>Injection site pain<br>Malnutrition<br>Malaise<br>Discomfort<br>Feeling abnormal<br>Ill-defined disorder<br>Myalgia<br>Anorectal discomfort<br>Rectal tenesmus<br>Proctalgia<br>Sepsis<br>Gastrointestinal fistula<br>Pneumonia streptococcal<br>Abdominal distension<br>Breast pain<br>Hyperhidrosis<br>Crohn's disease<br>Insomnia
DB00136,Calcitriol,5280453,CID005280453,Abdominal pain<br>Gastrointestinal pain<br>Albuminuria<br>Anaphylactic shock<br>Decreased appetite<br>Arrhythmia<br>Asthenia<br>Blister<br>Dermatitis bullous<br>Calcinosis<br>Neoplasm malignant<br>Chest pain<br>Conjunctivitis<br>Constipation<br>Disturbance in sexual arousal<br>Libido decreased<br>Dehydration<br>Dermatitis<br>Diarrhoea<br>Somnolence<br>Erythema multiforme<br>Rash<br>Body temperature increased<br>Headache<br>Haemolysis<br>Haemorrhage<br>Haemoglobin<br>Hypercalcaemia<br>Hypercalciuria<br>Hypercholesterolaemia<br>Hypersensitivity<br>Hypertension<br>Nephrolithiasis<br>Nausea<br>Nephrocalcinosis<br>Nocturia<br>High turnover osteopathy<br>Brown tumour<br>Pain<br>Pain in extremity<br>Pancreatitis<br>Polyuria<br>Urine output increased<br>Pruritus<br>Psoriasis<br>Psychotic disorder<br>Convulsion<br>Skin disorder<br>Thirst<br>Erythema<br>Urinary tract infection<br>Urticaria<br>Vomiting<br>Weight decreased<br>Dry mouth<br>Polydipsia<br>Agitation<br>Apathy<br>Flat affect<br>Photophobia<br>Hyperphosphataemia<br>Blood urea increased<br>Neutrophil count increased<br>Hypermagnesaemia<br>Bone pain<br>Blood alkaline phosphatase increased<br>Aspartate aminotransferase increased<br>Sensory disturbance<br>Calcification metastatic<br>Abdominal pain upper<br>Myalgia<br>Musculoskeletal discomfort<br>Anxiety<br>Discomfort<br>Urine abnormality<br>Urine analysis abnormal<br>Haematocrit increased<br>Lip swelling<br>Dysgeusia<br>Skin burning sensation<br>Laboratory test abnormal<br>Haemoglobin increased<br>Calcium intoxication<br>Blood creatinine increased<br>Poisoning<br>Skin discomfort<br>Insomnia<br>Nasopharyngitis<br>Rhinorrhoea<br>Epigastric discomfort<br>Renal failure chronic
DB00145,Glycine,750,CID000000750,Acidosis<br>Angina pectoris<br>Back pain<br>Cardiovascular disorder<br>Coma<br>Dehydration<br>Diarrhoea<br>Toxicity to various agents<br>Polyuria<br>Oedema<br>Hypersensitivity<br>Hyponatraemia<br>Hypotension<br>Lung disorder<br>Nausea<br>Pain<br>Rhinitis<br>Salivary hypersecretion<br>Convulsion<br>Tachycardia<br>Thirst<br>Thrombophlebitis<br>Urticaria<br>Vertigo<br>Vomiting<br>Urinary retention<br>Encephalopathy<br>Chills<br>Blindness transient<br>Dizziness<br>Hyperammonaemia<br>Respiratory tract congestion<br>Pulmonary congestion<br>Electrolyte imbalance<br>Vision blurred<br>Fluid overload<br>Visual impairment
DB00152,Thiamine,1130,CID000001130,Anaphylactic shock<br>Angioedema<br>Asthenia<br>Cyanosis<br>Haemorrhage<br>Haemoglobin<br>Hypersensitivity<br>Nausea<br>Pruritus<br>Pulmonary oedema<br>Hyperhidrosis<br>Urticaria<br>Agitation<br>Tenderness<br>Throat tightness<br>Induration<br>Shock<br>Feeling hot
DB00153,Ergocalciferol,5280793,CID005280793,Acidosis<br>Anaemia<br>Decreased appetite<br>Asthenia<br>Constipation<br>Dwarfism<br>Hypercalciuria<br>Hypertension<br>Mental disability<br>Mental retardation<br>Nausea<br>Nephrocalcinosis<br>Nocturia<br>Osteoporosis<br>Polyuria<br>Urine output increased<br>Weight decreased<br>Polydipsia<br>Pain<br>Azotaemia<br>Vascular calcification<br>Musculoskeletal stiffness<br>Renal failure chronic<br>Hypervitaminosis D<br>Calcinosis
DB00158,Folic acid,6037,CID000006037,Abdominal distension<br>Anaphylactic shock<br>Decreased appetite<br>Bronchospasm<br>Confusional state<br>Feeling abnormal<br>Depression<br>Dyspnoea<br>Rash<br>Dermatitis<br>Flatulence<br>Irritability<br>Nausea<br>Pruritus<br>Convulsion<br>Erythema<br>Vitamin B12 deficiency<br>Malaise<br>Discomfort<br>Ill-defined disorder<br>Gastrointestinal disorder<br>Dyspepsia<br>Agitation<br>Judgement impaired<br>Dysgeusia<br>Sensitisation
DB00159,Icosapent,446284,CID000446284,Arthralgia<br>Musculoskeletal discomfort<br>Oropharyngeal pain
